	empathy	distress	mean
1	0.21886575109025147	0.4961697311259795	0.3575177411081155
2	0.40163129132657277	0.6314891859593458	0.5165602386429593
3	0.432250669361064	0.025450659117362967	0.22885066423921346
4	0.33963799853579096	0.2092949801142481	0.27446648932501955
5	0.37307025330248533	0.5136578612204287	0.443364057261457
6	0.3975736802304722	-0.04998043389027902	0.1737966231700966
7	0.38789534990828917	0.27373932895627207	0.33081733943228064
8	0.34319859987214224	0.32090048204680016	0.3320495409594712
9	0.5027010138950543	0.44008442583284735	0.4713927198639508
10	0.38191946309233704	0.5801934073240536	0.4810564352081953
stdev	0.07270867246969798	0.23092056077230214	0.11515244595254652
mean	0.377874407061446	0.34409996278070587	0.36098718492107595
